sveitarfelag,stodugildi_total,ar,stodugildi_skola_kenn,stodugildi_skola_kenn_an_rettinda,stodugildi_skola,stodugildi_leiksk_kenn,stodugildi_leiksk_onnur_mennt,stodugildi_leikskola,stodugildi_annad
Ísafjarðarbær,275.1124,2020,47.8,9.06,83.83,16.260000228881836,17.62000000476837,65.20000040531158,126.08239959468841
Reykhólahreppur,41.49,2020,6.46,3.27,17.950000000000003,1.1200000047683716,0.25,3.0199999809265137,20.520000019073485
Tálknafjarðarhreppur,20.5,2020,1.5,3.87,8.530000000000001,0,0.699999988079071,1.699999988079071,10.270000011920928
Vesturbyggð,77.5341,2020,10.86,7.880000000000001,29.980000000000004,2,4.660000145435333,21.42000037431717,26.134099625682822
Súðavíkurhreppur,16.34,2020,1.9,3,8.7,0,0.25,3.25,4.390000000000001
Strandabyggð,36.08,2020,6.05,2.15,15.61,1,1,9.699999809265137,10.770000190734862
Sveitarfélagið Skagafjörður,346.5,2020,60.739999999999995,2.61,101.02,24.700000047683716,9.180000066757202,73.91000080108643,171.5699991989136
Húnaþing vestra,79.374,2020,16.53,3.58,29.88,1.5,2.0399999618530273,15.069999694824219,34.42400030517578
Sveitarfélagið Skagaströnd,29.099999999999998,2020,9.88,3,19.17,2,3,7.690000057220459,2.239999942779537
Akureyrarkaupstaður,1465.76,2020,260.09,5,407.66999999999996,91.90999984741211,32.84999944269657,223.1899979263544,834.9000020736457
Norðurþing,249.25,2020,35.16,13.23,67.45,11.349999785423279,7.659999847412109,49.35000026226044,132.44999973773957
Fjallabyggð,171.15749999999997,2020,20.86,6.39,47.21,7.309999942779541,5.409999847412109,33.84999895095825,90.09750104904171
Dalvíkurbyggð,136.4,2020,27.29,1.6400000000000001,43.21,11.839999675750732,2.6499999538064003,29.74999985843897,63.44000014156103
Eyjafjarðarsveit,65.19,2020,21.72,0,32.26,2.559999942779541,4.440000057220459,17.300000190734863,15.629999809265136
Hörgársveit,38.48,2020,8.13,1.73,15.860000000000001,6.289999961853027,1,13.009999752044678,9.61000024795532
Svalbarðsstrandarhreppur,28.7,2020,6.4,0,11.7,1.350000023841858,0,10.589999794960022,6.410000205039978
Grýtubakkahreppur,34.86047,2020,8.95,1,11.84,2.3499999046325684,0.949999988079071,6.149999797344208,16.870470202655792
Skútustaðahreppur,25,2020,4.69,3.06,11.95,2,2.5299999713897705,8.460000038146973,4.589999961853028
Langanesbyggð,46.8,2020,5.27,5.53,13.55,1,1,6,27.25
Seyðisfjarðarkaupstaður,138,2020,11.23,1,17.71,3.490000009536743,2.3299999237060547,12.559999704360962,107.73000029563903
Fjarðabyggð,424.54999999999995,2020,64.61,23.439999999999998,145.53,13.059999823570251,12.330000042915344,96.22999906539917,182.7900009346008
Vopnafjarðarhreppur,71.96000000000001,2020,11.73,2.6,22.96,4.96999979019165,0,12.5,36.50000000000001
Fljótsdalshérað,279.03999999999996,2020,55.27,9.93,103.07000000000001,18.319999933242798,21.919999316334724,67.13000030815601,108.83999969184396
Sveitarfélagið Hornafjörður,150.0679,2020,23.6,8.74,51.93000000000001,3,4,30.979999542236328,67.15790045776367
Vestmannaeyjabær,280.5,2020,56.27,0.24,90.2,7.650000333786011,8.220000267028809,36.040000677108765,154.25999932289125
Sveitarfélagið Árborg,692.1,2020,133.49,28.8,244.78000000000003,37.330000162124634,37.25999975204468,163.2100007534027,284.1099992465973
Mýrdalshreppur,41.900000000000006,2020,6.25,1.7,12.59,1.090000033378601,3.2799999713897705,9.870000004768372,19.439999995231634
Skaftárhreppur,35.7,2020,4.42,2.25,10.82,1,0,8.010000228881836,16.869999771118167
Rangárþing eystra,111.435,2020,28.64,1.9,48.989999999999995,10.630000114440918,5.079999923706055,30.869999885559082,31.575000114440925
Rangárþing ytra,128.99,2020,24.97,2.55,46.760000000000005,5.139999866485596,10.84000015258789,47.4200005531311,34.8099994468689
Hrunamannahreppur,65.45,2020,14.56,0,22.03,3.6600000858306885,4.400000095367432,15.27999997138977,28.14000002861023
Hveragerðisbær,223.361,2020,37.49,0.69,62.19,8.300000190734863,1.899999976158142,62.090001463890076,99.08099853610992
Reykjavíkurborg,8850.1393,2021,1352.0099999999995,169.45999999999995,2318.2599999999993,405.19000005722046,235.450000166893,1621.0099958181381,4910.869304181863
Kópavogsbær,2063.9,2021,448.52,66.27,776.29,157.82000041007996,85.05999994277954,546.3400022983551,741.269997701645
Seltjarnarnesbær,238.49,2021,50.73,4.15,83.77,20.860000610351562,14.350000381469727,66.720001220703125,87.9999987792969
Garðabær,817,2021,206.08,17.72,348.65000000000003,59.31000006198883,19.150000132620335,224.2900015488267,244.05999845117327
Hafnarfjarðarkaupstaður,1595.7925000000002,2021,361.32,62.29,648.28,134.4700002670288,74.44999945163727,429.1799999475479,518.3325000524524
Mosfellsbær,675.6200000000001,2021,149.83999999999997,37.75,249.02999999999997,41.59999942779541,39.83000040054321,204.7699990272522,221.82000097274795
Reykjanesbær,982.7599999999999,2021,208.73,91.11,461.58,44.93000030517578,30.87999987602234,167.3199999332428,353.86000006675704
Grindavíkurbær,182.11,2021,39.05,12.8,75.53,3.0999999046325684,2.309999942779541,24.450000762939453,82.12999923706056
Sveitarfélagið Vogar,81.6,2021,17.97,10.6,43.5,3.75,3,18.239999771118164,19.86000022888183
Akraneskaupstaður,496.53999999999996,2021,90.8,5.65,173.62,43.80000066757202,14.080000400543213,111.53000164031982,211.38999835968013
Hvalfjarðarsveit,48.3,2021,11,0.8,20.020000000000003,3.2899999618530273,2,11.769999980926514,16.51000001907348
Borgarbyggð,283.44,2021,57.989999999999995,4.3,98.07,20.71999979019165,11.000000059604645,66.94999939203262,118.42000060796738
Grundarfjarðarbær,62.96,2021,9.83,4.79,20.17,1.75,3.5,18.199999809265137,24.590000190734862
Stykkishólmsbær,116.08999999999997,2021,16.22,4.62,32.730000000000004,3.8299999237060547,7.070000171661377,24.080000400543213,59.27999959945676
Snæfellsbær,147.33,2021,28.13,4.05,55.01,6.400000095367432,2.0399999618530273,24.470000743865967,67.84999925613405
Dalabyggð,56.6,2021,9.19,3.01,18.82,0.5,3.1500000953674316,8.53000020980835,29.24999979019165
Bolungarvíkurkaupstaður,75.86,2021,11.45,5.56,27.06,3.4100000858306885,7.550000190734863,18.140000104904175,30.659999895095822
Ísafjarðarbær,274.88949999999994,2021,46.330000000000005,12.1,85.19000000000001,9.75,29.219999313354492,72.00999927520752,117.68950072479242
Reykhólahreppur,37.351,2021,3.52,4.39,11.02,1,1,5.150000095367432,21.180999904632568
Tálknafjarðarhreppur,22.04,2021,3.4,2.15,9.79,1,2,5.6600000858306885,6.5899999141693115
Vesturbyggð,81.17179999999999,2021,8.17,10.08,29.4,1.7999999523162842,5.299999952316284,20.789999961853027,30.981800038146964
Súðavíkurhreppur,16.34,2021,1.75,3.69,8.04,0,0.25,3.200000047683716,5.099999952316285
Strandabyggð,38.019999999999996,2021,4.45,2.35,11.8,0,6.599999904632568,9.429999828338623,16.790000171661372
Sveitarfélagið Skagafjörður,361.59000000000003,2021,69.11,0.85,110.38999999999999,27.110000610351562,10.710000038146973,80.25000190734863,170.9499980926514
Húnaþing vestra,84.05,2021,19.65,0,34.21,1,3.0899999141693115,15.589999914169312,34.250000085830685
Sveitarfélagið Skagaströnd,32.1,2021,8.9,7.03,21.13,2,4,7.25,3.7200000000000024
Akureyrarkaupstaður,1521.4027999999998,2021,256.36,4.35,433.56000000000006,98.8100004196167,43.070000030100346,229.2800012603402,858.5627987396597
Norðurþing,240.8445,2021,34.26,9.99,67.27,9.229999542236328,10.59000039100647,41.19000041484833,132.38449958515167
Fjallabyggð,172.50249999999997,2021,22.63,8.23,52.5,6.5,5.360000133514404,32.87000036239624,87.13249963760373
Dalvíkurbyggð,137.24,2021,28.53,0.17,41.400000000000006,10.059999942779541,1.7499999776482582,30.459999062120914,65.38000093787909
Eyjafjarðarsveit,78.1,2021,19.79,1.03,30.61,2.9100000858306885,4.840000152587891,16.50000023841858,30.989999761581416
Hörgársveit,41.1,2021,9.89,0.75,16.64,7.170000076293945,2,13.320000171661377,11.139999828338624
Svalbarðsstrandarhreppur,28.7,2021,9.43,0,17.04,2.930000066757202,1,9.56000018119812,2.09999981880188
Grýtubakkahreppur,36.46,2021,8.77,1.64,12.3,2.5,0.9300000071525574,4.959999978542328,19.200000021457672
Skútustaðahreppur,37.3,2021,5,1.7,12.129999999999999,1.9700000286102295,2.950000047683716,7.3500001430511475,17.81999985694885
Þingeyjarsveit,75.56,2021,19.310000000000002,2.9,37.7,2,3.4000000953674316,12.400000095367432,25.459999904632568
Langanesbyggð,52.9,2021,7.4,6.19,17.19,1.559999942779541,1,7.259999752044678,28.450000247955316
Fjarðabyggð,396,2021,57.09,31.93,145.69,16.100000143051147,15.480000257492065,98.59999990463257,151.71000009536743
Múlaþing,416.62059999999997,2021,78.5,22.810000000000002,157.3,23.420000314712524,28.970000222325325,98.33000035583973,160.99059964416023
Vopnafjarðarhreppur,71.07000000000001,2021,12,2.61,23.54,5.150000095367432,2.4700000286102295,14.250000238418579,33.27999976158143
